name,url,address,phone,score,number ratings
Courtyard Asheville Airport,www.marriott.com/hotels/travel/avlar-courtyard-asheville-airport/,"360 Rockwood Road,Arden,North Carolina,28704,USA,",+1-828-684-5000,4.6 ,132
Courtyard Columbia Downtown at USC,www.marriott.com/hotels/travel/caecd-courtyard-columbia-downtown-at-usc/,"630 Assembly Street,Columbia,South Carolina,29201,USA,",+1-803-799-7800,4.4 ,349
Courtyard Clemson,www.marriott.com/hotels/travel/gspcl-courtyard-clemson/,"201 Canoy Lane,Clemson,South Carolina,29631,USA,",+1-864-654-8833,4.7 ,222
TownePlace Suites Charleston,www.marriott.com/hotels/travel/chsts-towneplace-suites-charleston/,"805 Orleans Road,Charleston,South Carolina,29407,USA,",+1-843-806-2020,,
Charleston Marriott,www.marriott.com/hotels/travel/chsmc-charleston-marriott/,"170 Lockwood Boulevard,Charleston,South Carolina,29403,USA,",+1-843-723-3000,4.3 ,378
Fairfield Inn & Suites Columbia Northeast,www.marriott.com/hotels/travel/caefs-fairfield-inn-and-suites-columbia-northeast/,"120 Blarney Drive,Columbia,South Carolina,29223,USA,",+1-803-760-1700,4.5 ,239
Residence Inn Charleston Downtown/Riverview,www.marriott.com/hotels/travel/chsri-residence-inn-charleston-downtown-riverview/,"90 Ripley Point Drive,Charleston,South Carolina,29407,USA,",+1-843-571-7979,4.7 ,277
Courtyard Charleston Waterfront,www.marriott.com/hotels/travel/chscy-courtyard-charleston-waterfront/,"35 Lockwood Drive,Charleston,South Carolina,29401,USA,",+1-843-722-7229,4.1 ,418
Renaissance Charleston Historic District Hotel,www.marriott.com/hotels/travel/chsbr-renaissance-charleston-historic-district-hotel/,"68 Wentworth Street,Charleston,South Carolina,29401,USA,",+1-843-534-0300,4.3 ,383
SpringHill Suites Charleston Downtown/Riverview,www.marriott.com/hotels/travel/chssh-springhill-suites-charleston-downtown-riverview/,"98 Ripley Point Drive,Charleston,South Carolina,29407,USA,",+1-843-571-1711,4.6 ,289
"Grand Bohemian Hotel Charleston, Autograph Collection",www.marriott.com/hotels/travel/chsak-grand-bohemian-hotel-charleston-autograph-collection/,"55 Wentworth Street,Charleston,South Carolina,29401,USA,",+1-843-722-5711,4.6 ,130
Courtyard Charleston Historic District,www.marriott.com/hotels/travel/chshd-courtyard-charleston-historic-district/,"125 Calhoun Street,Charleston,South Carolina,29401,USA,",+1-843-805-7900,4.3 ,367
SpringHill Suites Winston-Salem Hanes Mall,www.marriott.com/hotels/travel/intsh-springhill-suites-winston-salem-hanes-mall/,"1015 Marriott Crossing Way,Winston-Salem,North Carolina,27103,USA,",+1-336-765-0190,4.6 ,186
Residence Inn Winston-Salem University Area,www.marriott.com/hotels/travel/intup-residence-inn-winston-salem-university-area/,"7835 North Point Boulevard,Winston-Salem,North Carolina,27106,USA,",+1-336-759-0777,4.5 ,214
Charlotte Marriott SouthPark,www.marriott.com/hotels/travel/cltph-charlotte-marriott-southpark/,"2200 Rexford Road,Charlotte,North Carolina,28211,USA,",+1-704-364-8220,4.4 ,326
Residence Inn Winston-Salem Hanes Mall,www.marriott.com/hotels/travel/intws-residence-inn-winston-salem-hanes-mall/,"3885 Oxford Station Way,Winston-Salem,North Carolina,27103,USA,",+1-336-807-9592,,
Winston-Salem Marriott,www.marriott.com/hotels/travel/intmc-winston-salem-marriott/,"425 North Cherry Street,Winston-Salem,North Carolina,27101,USA,",+1-336-725-3500,4.3 ,342
Fairfield Inn & Suites Dunn I-95,www.marriott.com/hotels/travel/faydn-fairfield-inn-and-suites-dunn-i-95/,"513 Spring Branch Road,Dunn,North Carolina,28334,USA,",+1-910-891-4064,4.7 ,153
Fairfield Inn & Suites Winston-Salem Downtown,www.marriott.com/hotels/travel/intdw-fairfield-inn-and-suites-winston-salem-downtown/,"125 South Main Street,Winston-Salem,North Carolina,27101,USA,",+1-336-714-2800,4.6 ,158
Fairfield Inn & Suites Winston-Salem Hanes Mall,www.marriott.com/hotels/travel/intfi-fairfield-inn-and-suites-winston-salem-hanes-mall/,"1680 Westbrook Plaza Drive,Winston-Salem,North Carolina,27103,USA,",+1-336-714-3000,4.8 ,255
Courtyard Columbia Northeast/I-77,www.marriott.com/hotels/travel/caene-courtyard-columbia-northeast-i-77/,"111 Gateway Corporate Boulevard,Columbia,South Carolina,29203,USA,",+1-803-736-3600,4.3 ,282
Courtyard Winston-Salem University,www.marriott.com/hotels/travel/intcy-courtyard-winston-salem-university/,"3111 University Parkway,Winston-Salem,North Carolina,27105,USA,",+1-336-727-1277,4.5 ,238
SpringHill Suites Charlotte Concord Mills/Speedway,www.marriott.com/hotels/travel/clthc-springhill-suites-charlotte-concord-mills-speedway/,"7811 Gateway Lane NW,Concord,North Carolina,28027,USA,",+1-704-979-2500,4.4 ,234
Residence Inn Charlotte Concord,www.marriott.com/hotels/travel/cltcn-residence-inn-charlotte-concord/,"7601 Scott Padgett Parkway,Concord,North Carolina,28027,USA,",+1-704-454-7862,4.4 ,243
SpringHill Suites Wilmington Mayfaire,www.marriott.com/hotels/travel/ilmsh-springhill-suites-wilmington-mayfaire/,"1014 Ashes Drive,Wilmington,North Carolina,28405,USA,",+1-910-239-9975,4.8 ,194
TownePlace Suites Wilmington/Wrightsville Beach,www.marriott.com/hotels/travel/ilmts-towneplace-suites-wilmington-wrightsville-beach/,"305 Eastwood Rd,Wilmington,North Carolina,28403,USA,",+1-910-332-3326,4.4 ,250
Courtyard Charlotte Concord,www.marriott.com/hotels/travel/cltco-courtyard-charlotte-concord/,"7201 Scott Padgett Parkway,Concord,North Carolina,28027,USA,",+1-704-453-2600,4.3 ,277
Fairfield Inn & Suites Wilson,www.marriott.com/hotels/travel/rwiwf-fairfield-inn-and-suites-wilson/,"4915 Hayes Place West,Wilson,North Carolina,27893,USA,",+1-252-265-5660,4.6 ,206
Courtyard Winston-Salem Hanes Mall,www.marriott.com/hotels/travel/intsr-courtyard-winston-salem-hanes-mall/,"1600 Westbrook Plaza Drive,Winston-Salem,North Carolina,27103,USA,",+1-336-760-5777,4.4 ,203
TownePlace Suites Charlotte University Research Park,www.marriott.com/hotels/travel/cltts-towneplace-suites-charlotte-university-research-park/,"8710 Research Drive,Charlotte,North Carolina,28262,USA,",+1-704-548-0388 ext. 0,4.3 ,226
TownePlace Suites Charlotte Arrowood,www.marriott.com/hotels/travel/clttw-towneplace-suites-charlotte-arrowood/,"7805 Forest Point Boulevard,Charlotte,North Carolina,28217,USA,",+1-704-227-2000,3.9 ,209
SpringHill Suites Charlotte Airport,www.marriott.com/hotels/travel/cltsa-springhill-suites-charlotte-airport/,"3055 Scott Futrell Drive,Charlotte,North Carolina,28208,USA,",+1-704-405-6061,4.1 ,212
Residence Inn Charlotte Uptown,www.marriott.com/hotels/travel/cltru-residence-inn-charlotte-uptown/,"404 S. Mint Street,Charlotte,North Carolina,28202,USA,",+1-704-340-4000,4.7 ,245
Residence Inn Charlotte University Research Park,www.marriott.com/hotels/travel/cltri-residence-inn-charlotte-university-research-park/,"8503 North Tryon Street,Charlotte,North Carolina,28262,USA,",+1-704-547-1122,4.1 ,200
SpringHill Suites Charlotte University Research Park,www.marriott.com/hotels/travel/cltsh-springhill-suites-charlotte-university-research-park/,"8700 Research Drive,Charlotte,North Carolina,28262,USA,",+1-704-503-4800,4.3 ,239
Residence Inn Charlotte SouthPark,www.marriott.com/hotels/travel/cltsp-residence-inn-charlotte-southpark/,"6030 Piedmont Row Drive South,Charlotte,North Carolina,28210,USA,",+1-704-554-7001,4.4 ,211
Residence Inn Charlotte Piper Glen,www.marriott.com/hotels/travel/cltpg-residence-inn-charlotte-piper-glen/,"5115 Piper Station Drive,Charlotte,North Carolina,28277,USA,",+1-704-319-3900,4.5 ,195
Residence Inn Charlotte South at I-77/Tyvola Road,www.marriott.com/hotels/travel/cltep-residence-inn-charlotte-south-at-i-77-tyvola-road/,"5816 Westpark Drive,Charlotte,North Carolina,28217,USA,",+1-704-527-8110,4.6 ,313
Fairfield Inn & Suites Cherokee,www.marriott.com/hotels/travel/avlck-fairfield-inn-and-suites-cherokee/,"Casino District, 568 Painttown Road,Cherokee,North Carolina,28719,USA,",+1-828-497-0400,4.4 ,265
SpringHill Suites Charlotte Uptown,www.marriott.com/hotels/travel/cltsd-springhill-suites-charlotte-uptown/,"311 East 5th Street,Charlotte,North Carolina,28202,USA,",+1-704-439-8100,,
Fairfield Inn & Suites Raleigh-Durham Airport/Brier Creek,www.marriott.com/hotels/travel/rdube-fairfield-inn-and-suites-raleigh-durham-airport-brier-creek/,"10040 Sellona St,Raleigh,North Carolina,27617,USA,",+1-919-246-0107,4.6 ,242
Courtyard Raleigh-Durham Airport/Brier Creek,www.marriott.com/hotels/travel/rduab-courtyard-raleigh-durham-airport-brier-creek/,"10600 Little Brier Creek Lane,Raleigh,North Carolina,27617,USA,",+1-919-472-1000,4.7 ,176
SpringHill Suites Charlotte Ballantyne Area,www.marriott.com/hotels/travel/cltbt-springhill-suites-charlotte-ballantyne-area/,"12325 Johnston Road,Charlotte,North Carolina,28277,USA,",+1-704-817-1500,4.6 ,235
Fairfield Inn & Suites Raleigh Crabtree Valley,www.marriott.com/hotels/travel/rduct-fairfield-inn-and-suites-raleigh-crabtree-valley/,"2201 Summit Park Lane,Raleigh,North Carolina,27612,USA,",+1-919-881-9800,4.6 ,192
Residence Inn Wilmington Landfall,www.marriott.com/hotels/travel/ilmri-residence-inn-wilmington-landfall/,"1200 Culbreth Drive,Wilmington,North Carolina,28405,USA,",+1-910-256-0098,4.4 ,182
Courtyard Wilmington Downtown/Historic District,www.marriott.com/hotels/travel/ilmwc-courtyard-wilmington-downtown-historic-district/,"229 North 2nd Street,Wilmington,North Carolina,28401,USA,",+1-910-632-2900,4.6 ,375
Courtyard Raleigh North/Triangle Town Center,www.marriott.com/hotels/travel/rdunt-courtyard-raleigh-north-triangle-town-center/,"3401 Sumner Blvd,Raleigh,North Carolina,27616,USA,",+1-919-645-0088,4.6 ,344
Fairfield Inn & Suites Washington,www.marriott.com/hotels/travel/ocwfi-fairfield-inn-and-suites-washington/,"2090 West 15th Street,Washington,North Carolina,27889,USA,",+1-252-940-5630,,
Residence Inn Pinehurst Southern Pines,www.marriott.com/hotels/travel/fayph-residence-inn-pinehurst-southern-pines/,"105 Brucewood Road,Southern Pines,North Carolina,28387,USA,",+1-910-693-3400,4.7 ,221
Courtyard Wilmington/Wrightsville Beach,www.marriott.com/hotels/travel/ilmcy-courtyard-wilmington-wrightsville-beach/,"151 Van Campen Boulevard,Wilmington,North Carolina,28403,USA,",+1-910-395-8224,4.3 ,257
